N,P,K,temperature,humidity,ph,label
92,19,111,33.39073000818308,67.74801263571896,6.283331011414365,Mungbean
87,121,104,14.286004537658224,72.07107783590823,4.725646316108401,Banana
37,134,196,39.766346778736526,69.39852077021732,6.946612641953124,Mango
88,53,63,21.995829151457663,23.733253057089236,8.395022075365837,Mango
50,112,59,39.49692657420364,57.34103145983839,7.939761626945282,Muskmelon
20,77,171,10.397948834795995,95.37614045478821,6.753152871382158,Mungbean
89,57,134,30.526990795364707,55.21219949916811,4.988152939379115,Lentil
34,85,168,15.46708263364187,80.4289128254122,6.200623497964979,Blackgram
105,8,58,10.939398773666758,87.38278196759988,6.299016533479063,Coffee
13,99,52,19.79622306417506,65.63551795243195,6.583337040103295,Pomegranate
81,115,57,27.602534969915446,97.22042458113104,6.928136990746738,Blackgram
18,134,195,10.234546101117909,86.35102221059554,5.89488151817557,Grapes
62,143,85,31.340258582459498,83.21404324249644,6.9238398991240455,Blackgram
40,32,139,35.50115733369398,55.956053931056275,4.881640465961645,Pomegranate
98,108,39,24.16644775485848,29.567539675064136,7.35297914889198,Pigeonpeas
64,57,48,27.40693394546586,83.06832073454986,6.355082036717099,Rice
123,67,100,29.092312337913413,45.148478486106136,6.534282764658811,Pomegranate
28,40,17,12.309397294863789,43.180116233101444,5.144885149016018,Pigeonpeas
44,66,189,13.164827794908119,56.52276563863282,5.373761748867334,Maize
29,79,132,34.22320465492187,91.68730399387945,5.7720138998874555,Cotton
60,59,54,25.288532845012536,77.61953145395073,5.829311706285884,Rice
61,55,176,17.323765667433225,33.46328337383444,5.3750568782922805,Lentil
112,66,190,38.87341884826334,40.14258366602913,6.488994023569542,Lentil
100,117,188,11.106608420635984,68.76514671839175,6.510716092915446,Orange
86,133,151,30.421163546643005,62.47476666537091,6.291132658292367,Coffee
67,127,149,31.846490458355788,49.422650617540256,7.0292233223743175,Mothbeans
138,101,128,25.24596330222156,75.66502454327055,7.933435219254879,Mothbeans
89,100,203,15.230992870149743,75.27501904819728,6.04694138520215,Kidneybeans
99,35,45,25.115995265753877,72.83683803101472,7.349387236557126,Papaya
98,11,148,34.51666600603647,64.416064927957,6.6186023134240255,Pomegranate
128,52,144,26.748803608212928,90.61090745514717,5.2548284333655175,Maize
98,52,135,35.689728756342774,52.360650169775205,8.05108039504384,Lentil
74,117,204,33.560219533418305,73.51906037713829,6.822746485745819,Cotton
39,144,197,24.60495755132976,84.25881462106199,5.805363860344394,Apple
53,72,37,24.81681145550304,34.30581673770631,5.965875138331439,Maize
134,132,37,26.27620691664698,60.7051261471008,7.045330472743581,Blackgram
37,113,55,36.7613966553134,70.49109007978103,7.679245214166594,Coffee
87,49,35,22.928644816970667,88.06130288153763,6.061544724881712,Rice
48,21,176,38.21375753058743,96.31428616020699,8.159457560881794,Chickpea
123,41,28,19.92250914011541,64.22119734683919,6.789169876683353,Chickpea
80,57,35,24.753830077344166,74.23731866715231,6.6136025249167005,Rice
57,71,108,12.112483925486316,36.713497409228815,7.184574067296202,Coffee
126,134,21,35.46009384774023,30.929706515362305,7.335643987640474,Maize
25,103,54,36.01216955740311,93.05924420451771,6.545369595443751,Mungbean
19,69,12,31.0590063177311,83.66341355488808,8.060021367270265,Kidneybeans
91,102,70,23.154223690542608,73.76209082361595,5.812610669898928,Muskmelon
57,62,90,17.50754081547592,23.106778754353854,5.713062058692891,Coffee
100,12,57,18.146287474592256,97.22014643126158,6.329060646454915,Banana
108,120,98,26.219053648303195,70.99439211985653,7.404365334890646,Mothbeans
27,129,197,21.927792921530553,84.06248376893112,5.938971420705636,Grapes
116,66,27,22.84943424820323,75.07999206122932,4.732774382033774,Pigeonpeas
93,56,50,22.74298995660961,93.36534993349275,6.776541187686701,Rice
68,26,97,22.588001872833697,39.81847916009259,5.923890714605046,Mungbean
85,33,73,12.824709648056803,44.91306475130354,8.418042114486035,Pigeonpeas
84,43,104,15.196056097300456,54.70813193903784,6.094018937589494,Pigeonpeas
68,104,38,17.82680870025142,21.22436322323078,8.233745232317933,Pomegranate
64,47,38,29.237767465848705,93.59729011401893,7.388503194250335,Rice
139,128,37,23.7475867147455,63.6493431452748,8.2658592351061,Cotton
64,78,47,15.873734043678894,25.548904070013236,4.903112005509707,Chickpea
34,85,94,19.569268908812838,87.59002487755636,4.593087742943304,Maize
114,109,139,13.544944828649687,75.73897322913206,7.0157713871195355,Maize
20,142,105,32.51844254922575,84.54677914138112,8.462020568002693,Kidneybeans
13,137,195,21.646194411129954,85.11205310379526,6.430757325603564,Apple
11,117,187,32.52613203374492,80.36342992677459,4.91249547534373,Pigeonpeas
112,66,88,34.79372398323225,45.603968082448944,8.082092913984802,Orange
99,144,193,37.16145929257791,27.302934142890685,5.7772545503616595,Orange
127,56,87,24.79076973315415,26.66275289562077,4.866816589033924,Watermelon
24,127,57,33.74737131177545,83.16945142356431,4.8648244121947615,Mango
121,137,167,36.63112548274899,48.07320100416629,4.968268065710424,Pomegranate
8,78,190,28.54654189948783,28.08981408982322,4.83642722445999,Mango
17,129,203,22.32790088935534,90.59363340734744,5.5813487806419,Grapes
82,140,113,21.11926441200673,85.0239653806002,8.288994309535434,Pigeonpeas
13,123,200,20.622717933748,87.22500481946173,5.877987590122254,Grapes
90,94,23,13.33592446918454,59.41000834326873,4.545414579069677,Mungbean
60,131,109,32.326349708298935,74.48315416775273,5.45002588516988,Cotton
55,121,138,34.06327747080202,98.23205350034166,6.724020154570338,Orange
79,122,168,26.615628532039622,97.54420284952792,6.592391376680595,Muskmelon
48,18,147,23.636231943033195,70.20464640672508,6.837257247692401,Lentil
32,144,204,24.25617226114838,93.35395675836375,5.955656752785713,Apple
67,38,42,25.30028342039079,84.59140279627181,5.6554692739299695,Jute
45,39,138,38.49399739875772,78.0575606710688,6.953660783743159,Lentil
9,60,34,35.98191668501225,23.617493608495153,4.6054678979890085,Maize
60,52,49,22.256253366552922,84.85326788380338,6.261781713262043,Rice
58,31,181,35.149861141334135,57.49545278359762,6.159278009350661,Coffee
80,50,40,30.37571595753368,83.35865687573657,6.999821498939943,Rice
22,57,169,32.71243606127368,50.22804394206291,5.464339329318527,Chickpea
109,5,55,18.241953910777262,36.57821192064452,8.012882669916769,Lentil
31,38,96,18.06017446075922,21.77477936242413,6.492660746583572,Blackgram
117,7,127,19.233317193131484,85.31085881704499,8.371895061759293,Coffee
111,51,155,32.65411767020857,69.62476410827718,7.316319072396894,Orange
98,40,36,25.258813382098957,84.74794217136582,6.284488090199464,Coconut
93,54,40,26.763656711241566,92.76178196008183,6.095918903083901,Coconut
50,85,137,33.89415327021632,56.74774463569379,7.868365660074838,Pomegranate
83,73,38,28.62417053266274,47.79307265803314,5.336523164314057,Orange
114,115,155,13.841375168733173,32.15221548098355,5.0553086905976405,Banana
131,108,136,20.370018499715897,91.74307279248094,6.395846561051489,Blackgram
78,55,39,25.1762394173358,78.69048036206709,5.563609362970331,Papaya
0,137,16,16.190011552173775,49.14158888384604,6.513669083419428,Mothbeans
36,128,204,21.99115598363564,89.41850584236361,5.581759031948872,Grapes
62,52,65,10.077850731509397,89.46408856284694,4.838068030722727,Banana
46,131,60,24.53568955573064,69.46038172242368,5.975654558279089,Chickpea
108,18,191,17.573108330320622,77.0679668707642,8.080827350748798,Maize
106,22,42,25.978517993650694,39.39764029077837,5.576972923797523,Watermelon
27,43,189,35.221299576337934,27.136346296964497,6.641342256062094,Pigeonpeas
12,29,72,20.653129098379143,71.90582722332607,6.418328407017,Orange
110,38,115,32.3631842255299,54.53276369837435,5.010321211182255,Kidneybeans
100,10,184,29.377517239948038,65.66226437351295,5.924386903591385,Lentil
15,124,203,13.558401876039916,81.52673708930605,5.652859139184332,Grapes
13,130,202,23.451481369396376,81.20350618492463,6.024511389570255,Apple
35,10,70,27.279952534169798,93.39164904684253,4.521200025590422,Blackgram
112,98,183,34.625844194600575,77.47658166692429,6.640146928179642,Coffee
64,40,38,26.38154657924625,82.69025946711137,5.98481946483016,Coconut
0,94,146,18.65891659720767,66.49905771380898,5.11745086109681,Muskmelon
76,7,165,21.076914445296886,56.34143777752797,6.694412471752613,Kidneybeans
129,17,172,34.29623337563905,40.37125238110111,7.226010888895717,Pomegranate
8,42,167,20.46604799628986,94.36233153982607,7.8224776311509165,Orange
77,121,124,39.727884293721715,36.40014480425898,6.016914339855202,Mango
99,56,42,32.41911330766238,88.76254811913284,7.099074261839031,Rice
4,87,127,29.01275691160532,92.62929043700127,5.764786329185979,Chickpea
88,44,76,23.17404725710655,50.155554353992606,6.350719142678425,Pomegranate
96,27,67,25.081611702774374,38.57701561174538,8.098298293098274,Mothbeans
52,108,108,28.727139877419763,29.351843256669127,8.2593284944539,Maize
41,19,115,28.602182677855406,62.67688735810572,8.075570332203831,Mungbean
37,101,159,32.31838877718031,22.682594778862352,6.779558739485266,Kidneybeans
4,127,78,20.262452461477224,85.70058437376103,4.942526947820829,Pomegranate
108,19,161,26.195819113385102,58.908598559648624,6.1358207083419725,Kidneybeans
11,138,197,18.482625209844606,90.74268612099428,6.099029364777326,Grapes
10,78,108,27.501753842983614,52.06811334109119,6.34802321457653,Cotton
106,144,145,14.173485824291856,28.06356824127092,5.524062127414648,Watermelon
59,104,72,33.7025391137226,21.841808383011,7.105468843952984,Blackgram
91,35,126,12.067646181016563,26.18568523910298,4.916987864207238,Orange
10,5,50,17.077181037852434,33.24164082938318,5.245283517976483,Lentil
99,49,49,20.82142458233047,78.37993104114753,7.105706897196023,Rice
85,43,37,25.97253040386415,83.43489007344807,7.339711232825521,Jute
134,95,21,27.612046724097016,22.627733619475066,8.150997851516514,Maize
24,92,165,20.871816973498994,66.44706802224349,7.0290571516781215,Coffee
80,51,41,34.633119735241344,81.47472470042533,6.614610737780096,Papaya
62,108,53,18.98787735299431,44.79495410148887,6.089272461830392,Coffee
78,51,47,25.66588921160254,90.91412033230833,6.674907208468149,Coconut
73,53,49,27.91471595217179,83.36139728143117,6.462175896775172,Rice
62,136,133,20.030884339314465,26.040269104311136,7.512984882989803,Mothbeans
109,128,91,39.36794306847884,87.18310875652564,7.967975040046094,Pomegranate
64,61,71,16.93224389764214,73.75141948789827,4.578842151017456,Blackgram
66,55,101,26.701647543500982,77.66504770484053,7.72125986943162,Coffee
31,124,50,34.90659593700975,51.77468236947639,7.172340546282585,Watermelon
73,57,50,21.30387522425524,85.83101937277401,6.971809226392004,Jute
78,50,53,28.745623414545385,80.53561376481245,7.28534342215395,Jute
10,134,199,27.708848275444232,41.4450912658301,6.996595631396536,Muskmelon
136,57,176,16.585315752428762,97.96378121590959,7.619035099152123,Mothbeans
119,63,132,15.463214164647496,58.78226937202769,6.549830623527686,Orange
39,29,107,16.540693224822594,71.60433342154636,6.186815738213127,Lentil
